Country Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,0,0,0,11.65523821,11.27143207,10.91277355,7.199751289,22.5277562,2.096288749,-2.163404428,3.814630317,16.59334673,7.301756471,4.822785479,0.566944541,2.447563002
Albania,5.647471475,3.810857369,3.647476274,5.198635304,3.152368926,3.306818153,2.478188885,4.386709379,4.117085428,2.418336057,4.493143203,2.314743797,1.042714606,0.288745964,1.549917068,0.563991354
Algeria,22.67800919,-0.47340196,1.320427849,8.330733637,12.24763194,16.12535042,10.54670428,6.39533725,15.31058101,-11.16161545,16.1199809,18.22801225,7.458336524,-0.093304378,-0.300580435,-6.455650413
American Samoa,0,0,0,1.365052937,-3.259074622,-1.365583433,2.813675214,3.160612207,11.0593352,25.77639752,-15.36488955,-0.523560209,17.36842105,2.243589744,-0.962160294,1.469732765
Andorra,28.7415529,3.080535179,3.23953177,3.177484216,3.042423998,3.39610213,3.457184087,3.211227341,2.27433832,0.132136132,0.374313758,0.196764152,0.174556906,0.4484922,-0.084019317,0.660588959
Angola,418.0189915,106.3521255,196.9841052,93.92685444,33.44017865,42.3755606,17.11809761,4.30841553,19.3699206,-16.76108205,32.26344232,31.77154919,7.255670453,2.839789071,3.560820798,-3.518386388
Antigua and Barbuda,1.553300159,1.482588328,0.70180233,-0.864881446,1.539517125,4.461642573,0.407675597,3.734130166,4.380667355,1.836936307,1.47335735,1.015415194,2.035711982,-0.94654445,1.9115038,3.017503702
Argentina,1.037287101,-1.095767718,30.55520405,10.49570302,18.36335425,10.3175112,13.74105249,14.93992502,23.17116498,15.37764937,20.91512427,23.70347218,22.31488067,23.94879842,40.28297163,26.5799916
Armenia,-1.373675998,4.027969482,2.357399019,4.598515728,6.278594108,3.208756666,4.618012508,4.277875539,5.989562361,2.497253079,7.768715481,4.281549998,5.345804418,3.366824642,2.30918243,1.213909905
Aruba,1.048271456,5.62905761,4.527475306,2.098111468,2.170963513,3.332794823,2.945294623,5.949806916,5.072878451,1.727073333,-0.677054173,3.107300649,0.789086084,3.286685576,2.003480469,0.439923993
Australia,2.558021881,4.617100009,2.835819531,3.007398181,3.244911434,3.806950994,5.120484675,4.982430315,4.614583524,4.988338454,1.165383439,6.206780722,1.789129964,-0.15259154,1.44182453,-0.6165424
Austria,1.364040914,1.947105394,1.145595667,1.307552579,1.73971885,2.537794158,1.892161069,2.221175867,1.956322281,1.889264178,0.873054962,1.833410245,2.054235685,1.62388807,2.175707237,2.300978667
Azerbaijan,12.49277345,2.515009979,4.214386164,6.961465116,9.251965578,14.72349655,11.30121914,21.02932861,27.77745943,-18.84495709,13.54581673,22.52436131,2.882932999,0.445064412,-1.284995726,-8.849692506
"Bahamas, The",0.921917928,0.353982112,3.960763092,1.154479107,1.194630016,5.056845759,0.827937103,2.947322454,1.488464357,-1.035990447,-0.392294309,-0.858815623,3.267287945,1.531586984,3.802312858,5.040239163
Bahrain,29.99127655,-3.36382792,3.414349556,8.602580618,10.99108462,13.73496783,8.842436716,8.435632695,11.36509192,-12.99394121,7.441125966,9.736753496,3.014765852,0.384140011,-1.670883004,-9.255156915
Bangladesh,3.44665935,3.261160132,3.892867435,5.815816648,4.56213638,4.586360705,5.875935815,6.471260103,7.860966092,6.764354686,7.144663025,7.859450855,8.164573678,7.174953427,5.668788528,5.87277704
Barbados,-1.322839151,2.255389252,0.907856237,1.115872167,5.828144136,6.667724557,4.265719162,8.436091641,1.66215638,-1.684865074,3.81816146,3.511501278,-0.566836805,2.900726799,0.542156273,-2.005678513
Belarus,185.2907607,79.53457254,44.89373887,30.6853215,22.67512245,18.9721606,10.74861564,12.87270229,21.21353617,9.258661838,11.29047473,71.03882161,75.27736917,21.25729561,18.10515612,16.02249378
Belgium,2.014617387,1.982802721,1.640007795,1.850088683,1.914990948,2.083074213,2.264707144,1.931721117,1.908845425,0.533179398,1.89207786,1.807299468,1.961119341,1.271258155,0.982645555,1.330386128
Belize,0.475944593,-0.30633951,1.731252126,-2.765722981,2.008202427,2.871067366,4.74444278,4.50430522,2.687309557,-2.729709196,1.496224682,4.075469263,1.786056993,2.385974395,1.469829413,0.606779754
Benin,4.341055664,1.970285582,3.554213255,3.061704124,0.769711004,4.293664135,2.094317073,0.390153238,6.434152206,2.539692061,0.88088567,3.73308304,7.698908077,1.397298395,-0.247782654,0.851504261
Bermuda,-4.236356147,-1.369195741,8.580442291,2.824739521,4.692142598,6.762374738,19.57916181,6.574894832,5.108914102,1.04358317,2.236222003,-1.151255981,6.698203692,1.657273194,3.011890877,2.95202007
Bhutan,7.350196168,5.358776045,4.755219574,3.066148262,3.704944877,5.902775454,5.419860934,2.953441211,5.510470264,4.75628605,5.854311232,8.510299111,9.1799297,5.86984322,6.920960939,3.557068165
Bolivia,5.19540791,1.870092796,2.820758433,6.329991141,7.967709974,5.940795568,13.66367938,7.373355353,10.38118272,-2.419895917,8.77750899,14.60235436,7.10027531,5.995388532,2.049497565,-4.620602295
Bosnia and Herzegovina,21.83624288,4.726117913,5.007866114,1.410861851,2.161971274,6.189015832,7.800127273,6.197569555,7.335351328,0.185466542,1.406293659,2.432527989,0.795773265,-0.224121882,1.000337171,1.365727212
Botswana,14.17096689,8.312825089,1.187370705,3.25908433,10.07878862,15.47170656,7.473131023,4.9276071,4.72939345,6.462525782,8.920001916,13.95807721,0.193793942,2.309144521,7.799173535,3.816146234
Brazil,5.606065153,8.225094316,9.798112234,14.09102153,7.752060759,7.431224755,6.774274119,6.439038089,8.778552722,7.313482746,8.423338336,8.318592219,7.943126942,7.504564532,7.846709743,7.566175013
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam,29.01570917,-5.59189805,0.374209529,6.104611064,15.88616466,18.76631914,10.04772148,1.120447694,12.69272996,-22.09141648,16.68828285,20.18050542,1.218702687,-2.82132117,-1.846457284,-17.61280313
Bulgaria,7.380852358,6.117736873,3.848379586,2.189415781,5.58155865,6.594250624,6.756476777,11.04777728,8.100504232,3.938027582,0.764233397,6.112979908,1.112136794,0.071962013,1.340740195,2.946785657
Burkina Faso,-0.819773185,3.961552917,3.056986091,1.484728815,0.09064859,3.739385397,-0.662826822,2.492349183,9.159800437,2.40550487,3.779618728,6.738004807,5.823999488,-2.129171178,-0.620386926,-2.223954179
Burundi,38.9448932,13.71640679,1.027858574,11.94574864,13.14615933,18.84158948,2.845666334,8.27337152,24.21579774,10.45879485,8.561551747,8.364247586,14.29243968,7.955459176,5.30485357,21.33404254
Cabo Verde,-7.901103461,5.15533505,-0.363208944,4.921099761,-6.332546974,-1.794883198,4.63977092,8.751419016,3.545932648,2.174621123,0.505086042,2.676410906,0.552996041,1.42841089,-0.146774194,1.736266164
Cambodia,-4.283226767,2.646541004,0.713141232,1.797517596,4.823737963,6.076678825,4.631109399,6.518033506,12.25378661,2.504384662,3.12059287,3.36406625,1.440518127,0.781387552,2.632195879,1.786112459
